run,norm_condition,span_condition,document,caption_count,label,match,refclash,missing,refonly,reftotal,hypclash,spurious,hyponly,hyptotal,precision,recall,fmeasure,norm_match,norm_missing,norm_spurious,norm_precision_micro,norm_recall_micro,norm_fmeasure_micro,norm_precision_macro,norm_recall_macro,norm_fmeasure_macro
system1,any,strict,4557670,10,organism_or_species,0,0,21,21,21,0,0,0,0,1.0,0.0,0.0,0,13,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4557670,10,small_molecule,0,0,2,2,2,0,0,0,0,1.0,0.0,0.0,0,0,0,1.0,1.0,1.0,,,
system1,any,strict,3827746,33,cell_type_or_line,0,0,25,25,25,0,0,0,0,1.0,0.0,0.0,0,22,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,3827746,33,cellular_component,0,0,38,38,38,0,0,0,0,1.0,0.0,0.0,0,24,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,3827746,33,gene_or_protein,0,0,181,181,181,0,0,0,0,1.0,0.0,0.0,0,77,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,3827746,33,organism_or_species,0,0,9,9,9,0,0,0,0,1.0,0.0,0.0,0,7,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,3827746,33,small_molecule,0,0,17,17,17,0,0,0,0,1.0,0.0,0.0,0,13,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,3827746,33,tissue_or_organ,0,0,3,3,3,0,0,0,0,1.0,0.0,0.0,0,2,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4687416,13,cell_type_or_line,0,0,31,31,31,0,0,0,0,1.0,0.0,0.0,0,17,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4687416,13,gene_or_protein,0,0,22,22,22,0,0,0,0,1.0,0.0,0.0,0,9,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4687416,13,small_molecule,0,0,49,49,49,0,0,0,0,1.0,0.0,0.0,0,24,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4772851,39,cell_type_or_line,0,0,12,12,12,0,0,0,0,1.0,0.0,0.0,0,10,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4772851,39,gene_or_protein,0,0,187,187,187,0,0,0,0,1.0,0.0,0.0,0,83,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4772851,39,organism_or_species,0,0,49,49,49,0,0,0,0,1.0,0.0,0.0,0,33,0,1.0,0.0,0.0,1.0,0.0,0.0
